Year,Africa,Brazil,China,Europe,Germany,India,Italy,New York City,UK,US
2015,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,2,1,0,1,0,3
2018,0,0,0,2,0,1,2,1,0,11
2019,1,1,0,0,1,1,0,2,3,17
2020,1,2,0,1,0,3,4,1,1,12
2021,3,0,3,2,2,10,0,3,2,22
2022,1,0,3,4,0,8,1,1,1,24
2023,6,2,5,6,3,11,6,2,4,29
2024,4,5,7,5,1,9,1,2,4,33
2025,4,2,0,1,3,5,1,0,4,15
