Year,Average Researchers
2015,3.230769230769231
2016,3.409090909090909
2017,3.35
2018,3.485148514851485
2019,3.552941176470588
2020,3.6385964912280704
2021,3.7232142857142856
2022,3.982005141388175
2023,4.149549549549549
2024,4.433990895295903
2025,4.210300429184549
